47.832;19.154;2.174;16.301;8.502;0.191;0.025;17.130;0.335;0.450;0.000;26.140;0.267;0.002;11.374;0.479;0.002;18.796;0.000;0.003;233397;10608;4879.546;107350.019
48.077;19.247;2.185;15.927;8.303;0.190;0.026;17.180;0.313;0.453;0.000;27.087;0.282;0.002;11.215;0.481;0.002;18.533;0.000;0.003;233091;10595;4848.329;106663.244
48.013;19.264;2.182;15.870;8.425;0.194;0.025;17.041;0.298;0.419;0.000;26.301;0.295;0.002;11.685;0.475;0.002;18.963;0.000;0.003;232416;10564;4840.729;106496.032
48.093;19.236;2.186;15.284;8.294;0.192;0.025;17.191;0.331;0.443;0.000;27.103;0.280;0.002;11.606;0.483;0.002;18.753;0.000;0.003;234419;10655;4874.254;107233.590
47.900;19.273;2.177;17.127;8.363;0.187;0.025;17.105;0.336;0.459;0.000;26.159;0.276;0.002;10.945;0.469;0.002;18.539;0.000;0.003;234623;10664;4898.135;107758.961
47.969;19.242;2.180;15.784;8.264;0.191;0.025;17.234;0.307;0.425;0.000;26.547;0.288;0.002;11.584;0.474;0.002;18.868;0.000;0.003;231539;10524;4826.850;106190.699
48.060;19.167;2.185;16.893;8.376;0.189;0.027;17.006;0.291;0.414;0.000;26.169;0.288;0.002;11.283;0.474;0.002;18.581;0.000;0.003;232890;10585;4845.799;106607.567
47.909;19.060;2.178;16.187;8.408;0.194;0.025;17.572;0.331;0.448;0.000;26.413;0.261;0.002;11.046;0.489;0.002;18.617;0.000;0.003;235052;10684;4906.240;107937.276
47.917;19.139;2.178;16.992;8.302;0.187;0.025;17.419;0.324;0.454;0.000;26.056;0.258;0.002;10.860;0.473;0.002;18.641;0.000;0.003;236106;10732;4927.434;108403.543
47.797;19.083;2.173;15.324;8.447;0.197;0.027;17.999;0.308;0.428;0.000;26.756;0.258;0.002;10.974;0.475;0.002;18.797;0.000;0.003;231337;10515;4839.986;106479.698
47.914;19.170;2.178;16.397;8.373;0.200;0.028;17.627;0.296;0.422;0.000;26.232;0.248;0.002;11.201;0.492;0.002;18.475;0.000;0.003;230588;10481;4812.540;105875.870
47.815;19.129;2.173;15.608;8.507;0.200;0.026;17.823;0.307;0.424;0.000;26.360;0.250;0.002;11.063;0.515;0.002;18.909;0.000;0.003;231924;10542;4850.490;106710.791
47.925;19.234;2.178;15.708;8.426;0.190;0.025;17.575;0.314;0.432;0.000;26.857;0.257;0.002;10.913;0.482;0.002;18.811;0.000;0.003;233747;10624;4877.302;107300.643
47.860;19.088;2.175;16.194;8.578;0.204;0.025;17.801;0.317;0.435;0.000;25.913;0.249;0.002;11.055;0.488;0.002;18.732;0.000;0.003;232060;10548;4848.722;106671.878
47.975;19.220;2.181;19.042;8.254;0.188;0.026;16.739;0.311;0.424;0.000;25.110;0.263;0.002;10.915;0.459;0.002;18.261;0.000;0.003;231899;10540;4833.720;106341.835
48.016;19.242;2.183;15.802;8.398;0.192;0.026;17.230;0.330;0.444;0.000;26.683;0.286;0.002;11.499;0.504;0.002;18.597;0.000;0.003;233185;10599;4856.435;106841.575
47.888;19.157;2.177;15.324;8.381;0.192;0.025;17.970;0.325;0.449;0.000;26.872;0.262;0.002;11.002;0.488;0.002;18.699;0.000;0.003;231149;10506;4826.877;106191.304
47.851;19.082;2.175;16.714;8.361;0.188;0.030;17.378;0.306;0.425;0.000;26.401;0.262;0.002;10.882;0.467;0.002;18.577;0.000;0.003;230197;10463;4810.688;105835.126
47.939;19.146;2.179;16.093;8.536;0.191;0.025;17.502;0.312;0.428;0.000;26.344;0.263;0.002;11.018;0.481;0.002;18.798;0.000;0.003;233284;10603;4866.278;107058.125
48.055;19.176;2.184;17.570;8.329;0.189;0.026;16.899;0.298;0.421;0.000;25.867;0.259;0.002;11.124;0.507;0.002;18.502;0.000;0.003;233404;10609;4856.982;106853.608
48.068;19.369;2.185;16.087;8.459;0.196;0.025;16.977;0.334;0.452;0.000;26.751;0.279;0.002;11.086;0.470;0.002;18.874;0.000;0.003;232927;10587;4845.770;106606.950
47.979;19.221;2.181;16.919;8.225;0.193;0.025;17.078;0.288;0.407;0.000;25.511;0.287;0.002;11.769;0.495;0.002;18.794;0.000;0.003;230241;10465;4798.807;105573.752
