Messages;Total Time (sec);First Message Arrival (sec);Average Time per Round (sec);Key Generation (%);Commitments on Key (%);PoK Generation on Keys (%);Sending Comm&PoK on Keys (%);Receive Comm&PoK on Keys (%);Setting Round Messages (%);Calculate PoK on Message Format (%);Send Format Proof (%);Receive Comm&PoK on Format (%);Calculate PoK on Message (%);Send PoK on Message (%);Receive PoK on Message (%);Calculate PoK on Output (%);Send PoK on Output (%);Receive PoK on Output (%);Virtual Round (%);Round Resolution (%);Total Messages Size (bytes);Average Messages Size per Round (bytes);Average Bandwith by participant (bytes/sec);Average Bandwith Approx. all room (bytes/sec)
13;16.8254;3.8054;1.2942;15.7595;9.0445;0.3525;0.0604;17.2388;0.5453;0.7542;0.0000;24.5945;0.3988;0.0095;11.6156;0.8108;0.0038;18.8027;0.0000;0.0052;137358.0769;10565.5385;8163.6958;106128.0454
14;19.4314;6.8955;1.3880;15.7811;8.8846;0.3238;0.0554;17.3398;0.5198;0.7180;0.0000;25.0501;0.3695;0.0036;11.7396;0.7281;0.0039;18.4742;0.0000;0.0051;148151.1429;10581.7857;7624.3268;106740.5739
15;21.9055;7.3460;1.4605;16.1985;9.0261;0.2967;0.0464;17.2201;0.4772;0.6542;0.0000;25.2161;0.3515;0.0033;11.5097;0.6475;0.0030;18.3405;0.0000;0.0047;156699.6000;10446.0667;7153.5053;107302.5780
16;25.0803;7.8447;1.5676;15.6686;8.8479;0.2897;0.0411;17.4141;0.4683;0.6417;0.0000;25.3310;0.3491;0.0030;11.4073;0.6455;0.0031;18.8823;0.0000;0.0041;169064.0000;10566.0625;6740.9039;107854.4629
17;28.2702;8.2314;1.6630;15.7108;8.7565;0.2679;0.0387;17.1401;0.4241;0.5801;0.0000;26.3275;0.3275;0.0029;11.7839;0.5719;0.0030;18.0580;0.0000;0.0041;178732.2941;10513.1765;6322.3113;107479.2918
18;31.8904;8.6650;1.7717;15.2263;8.6811;0.2599;0.0349;17.1576;0.4080;0.5621;0.0000;26.2006;0.3136;0.0029;11.5646;0.5883;0.0028;18.9913;0.0000;0.0033;191472.5556;10636.9444;6004.0973;108073.7514
19;35.1337;16.4910;1.8491;16.4489;8.7397;0.2349;0.0331;17.5373;0.3726;0.5139;0.0000;26.0834;0.2931;0.0029;11.2339;0.5198;0.0022;17.9786;0.0000;0.0032;198499.2632;10446.8947;5649.8510;107347.1676
20;39.2062;13.5317;1.9602;16.0275;8.5459;0.2230;0.0298;17.4005;0.3609;0.4972;0.0000;26.3969;0.2937;0.0022;11.2608;0.4972;0.0021;18.4565;0.0000;0.0030;210045.2500;10501.9000;5357.4319;107148.6390
21;43.6060;18.3927;2.0765;16.5713;8.4235;0.2090;0.0291;17.3905;0.3283;0.4516;0.0000;26.0671;0.2704;0.0020;11.3786;0.4871;0.0020;18.3835;0.0000;0.0030;221328.8571;10539.0000;5075.6527;106588.7054
22;47.9478;19.1863;2.1794;16.3249;8.3869;0.1925;0.0258;17.3398;0.3142;0.4344;0.0000;26.3469;0.2690;0.0020;11.1863;0.4827;0.0020;18.6871;0.0000;0.0030;232703.4091;10576.9545;4853.2688;106771.9130
23;50.8653;10.8527;2.2115;16.2219;8.6067;0.1849;0.0260;17.6648;0.2929;0.4053;0.0000;26.4403;0.2356;0.0020;11.2745;0.4167;0.0022;18.2215;0.0000;0.0029;239065.2174;10393.6522;4699.9790;108099.5154
24;56.3922;20.9954;2.3496;16.1778;8.4543;0.1905;0.0232;17.3396;0.2965;0.4115;0.0000;26.6968;0.2459;0.0022;11.4402;0.4117;0.0023;18.3032;0.0000;0.0024;252288.3750;10511.4167;4473.8313;107371.9528
25;61.5338;21.8443;2.4613;17.1832;8.4141;0.1736;0.0220;17.3487;0.2734;0.3775;0.0000;26.3795;0.2253;0.0020;11.0546;0.3895;0.0020;18.1506;0.0000;0.0021;262124.0000;10484.4800;4259.8513;106496.2814
26;66.8291;22.5483;2.5704;16.0291;8.2650;0.1654;0.0207;17.5829;0.2563;0.3580;0.0000;26.5897;0.2206;0.0020;11.1614;0.4134;0.0021;18.9300;0.0000;0.0020;276177.4231;10621.7308;4132.5937;107447.4360
27;71.5816;23.4274;2.6512;15.8789;8.3444;0.1678;0.0199;17.2497;0.2615;0.3619;0.0000;27.3865;0.2223;0.0020;11.2956;0.3726;0.0020;18.4316;0.0000;0.0020;284184.6296;10524.8519;3970.0855;107192.3088
28;77.6110;27.1770;2.7719;17.3012;8.2535;0.1504;0.0184;17.1589;0.2392;0.3331;0.0000;26.7404;0.2110;0.0020;11.0217;0.3552;0.0020;18.2101;0.0000;0.0020;293482.7857;10481.0357;3781.4659;105881.0450
29;82.8287;25.2602;2.8561;15.9272;8.2556;0.1485;0.0179;17.3409;0.2372;0.3297;0.0000;27.2346;0.2064;0.0020;11.2653;0.3713;0.0020;18.6585;0.0000;0.0020;305817.1379;10544.8621;3692.1721;107072.9911
30;90.3413;26.9695;3.0113;17.9230;8.1156;0.1436;0.0166;16.9181;0.2246;0.3134;0.0000;27.2547;0.1986;0.0017;10.9641;0.3160;0.0021;17.6050;0.0000;0.0020;312619.4667;10420.1333;3460.4265;103812.7958
