1;476.295081967213
2;1828.22580645161
3;2372.37837837838
4;4226.2962962963
5;4554.53125
6;5409.46875
7;6180.84848484849
8;5490.06976744186
9;6306.95238095238
10;8079.66666666667
11;9487.0294117647
12;7134.84
13;11500.1515151515
14;9724.20930232558
15;14633.3
16;12540.7894736842
17;14971.4848484849
18;17758.0333333333
19;12902.0444444444
20;20629.7
21;18879.9142857143
22;19399.4705882353
23;9610.625
24;19584.9189189189
25;23198.5625
26;12568.737704918
27;14624.2407407407
28;28697.4137931034
29;29167.78125
30;31450.5483870968
