3;218.933333571429
4;294.766071428571
5;366.891428571429
6;450.078571428571
7;519.869387857143
8;597.382142857143
9;674.712698571429
10;739.739285714286
11;833.288311428571
12;894.172023571429
13;981.129120714286
14;1058.22244928571
15;1119.28285714286
16;1207.6
17;1276.65924357143
18;1367.66111142857
19;1417.85188
20;1500.32321428571
21;1580.92040785714
22;1662.16720785714
23;1707.60869571429
24;1802.05982142857
25;1872.31428571429
26;1972.69587928571
27;2029.89021142857
28;2096.30561214286
29;2184.40812785714
30;2232.99619071429
