1;65.963095
2;137.593571428571
3;215.292619285714
4;284.971190714286
5;364.201666428571
6;432.022142857143
7;509.934047857143
8;589.708333571429
9;669.691428571429
10;734.049523571429
11;821.755952142857
12;897.277380714286
13;959.496666428572
14;1056.82833357143
15;1119.39476214286
16;1195.97928571429
17;1256.78071428571
18;1345.84619071429
19;1420.123095
20;1500.14880928571
21;1567.44
22;1663.36904785714
23;1751.05238071429
24;1808.82880928571
25;1892.06952357143
26;1955.03095214286
27;2010.57261928571
28;2106.55857142857
29;2211.13214285714
30;2254.68
