Messages;Total Time (sec);First Message Arrival (sec);Average Time per Round (sec);Key Generation (%);Commitments on Key (%);PoK Generation on Keys (%);Sending Comm&PoK on Keys (%);Receive Comm&PoK on Keys (%);Setting Round Messages (%);Calculate PoK on Message Format (%);Send Format Proof (%);Receive Comm&PoK on Format (%);Calculate PoK on Message (%);Send PoK on Message (%);Receive PoK on Message (%);Calculate PoK on Output (%);Send PoK on Output (%);Receive PoK on Output (%);Virtual Round (%);Round Resolution (%);Total Messages Size (bytes);Average Messages Size per Round (bytes);Average Bandwith by participant (bytes/sec);Average Bandwith Approx. all room (bytes/sec);Worst case Bandwidth (bytes/sec)
13;16.8254;3.8054;1.2942;15.7595;9.0445;0.3525;0.0604;17.2388;0.5453;0.7542;0;24.5945;0.3988;0.0095;11.6156;0.8108;0.0038;18.8027;0;0.0052;137358.0769;10565.5385;8163.6958;106128.0454;8.32075314702771
14;19.4314;6.8955;1.388;15.7811;8.8846;0.3238;0.0554;17.3398;0.5198;0.718;0;25.0501;0.3695;0.0036;11.7396;0.7281;0.0039;18.4742;0;0.0051;148151.1429;10581.7857;7624.3268;106740.5739;7.20483341395885
15;21.9055;7.346;1.4605;16.1985;9.0261;0.2967;0.0464;17.2201;0.4772;0.6542;0;25.2161;0.3515;0.0033;11.5097;0.6475;0.003;18.3405;0;0.0047;156699.6;10446.0667;7153.5053;107302.578;6.39108899591427
16;25.0803;7.8447;1.5676;15.6686;8.8479;0.2897;0.0411;17.4141;0.4683;0.6417;0;25.331;0.3491;0.003;11.4073;0.6455;0.0031;18.8823;0;0.0041;169064;10566.0625;6740.9039;107854.4629;5.58207038990762
17;28.2702;8.2314;1.663;15.7108;8.7565;0.2679;0.0387;17.1401;0.4241;0.5801;0;26.3275;0.3275;0.0029;11.7839;0.5719;0.003;18.058;0;0.0041;178732.2941;10513.1765;6322.3113;107479.2918;4.95221116228396
18;31.8904;8.665;1.7717;15.2263;8.6811;0.2599;0.0349;17.1576;0.408;0.5621;0;26.2006;0.3136;0.0029;11.5646;0.5883;0.0028;18.9913;0;0.0033;191472.5556;10636.9444;6004.0973;108073.7514;4.39003587286456
19;35.1337;16.491;1.8491;16.4489;8.7397;0.2349;0.0331;17.5373;0.3726;0.5139;0;26.0834;0.2931;0.0029;11.2339;0.5198;0.0022;17.9786;0;0.0032;198499.2632;10446.8947;5649.851;107347.1676;3.98477814747664
20;39.2062;13.5317;1.9602;16.0275;8.5459;0.223;0.0298;17.4005;0.3609;0.4972;0;26.3969;0.2937;0.0022;11.2608;0.4972;0.0021;18.4565;0;0.003;210045.25;10501.9;5357.4319;107148.639;3.57086379195127
21;43.606;18.3927;2.0765;16.5713;8.4235;0.209;0.0291;17.3905;0.3283;0.4516;0;26.0671;0.2704;0.002;11.3786;0.4871;0.002;18.3835;0;0.003;221328.8571;10539;5075.6527;106588.7054;3.21056735311654
22;47.9478;19.1863;2.1794;16.3249;8.3869;0.1925;0.0258;17.3398;0.3142;0.4344;0;26.3469;0.269;0.002;11.1863;0.4827;0.002;18.6871;0;0.003;232703.4091;10576.9545;4853.2688;106771.913;2.91984199483605
23;50.8653;10.8527;2.2115;16.2219;8.6067;0.1849;0.026;17.6648;0.2929;0.4053;0;26.4403;0.2356;0.002;11.2745;0.4167;0.0022;18.2215;0;0.0029;239065.2174;10393.6522;4699.979;108099.5154;2.75236752756791
24;56.3922;20.9954;2.3496;16.1778;8.4543;0.1905;0.0232;17.3396;0.2965;0.4115;0;26.6968;0.2459;0.0022;11.4402;0.4117;0.0023;18.3032;0;0.0024;252288.375;10511.4167;4473.8313;107371.9528;2.48261284362022
25;61.5338;21.8443;2.4613;17.1832;8.4141;0.1736;0.022;17.3487;0.2734;0.3775;0;26.3795;0.2253;0.002;11.0546;0.3895;0.002;18.1506;0;0.0021;262124;10484.48;4259.8513;106496.2814;2.27517234430508
26;66.8291;22.5483;2.5704;16.0291;8.265;0.1654;0.0207;17.5829;0.2563;0.358;0;26.5897;0.2206;0.002;11.1614;0.4134;0.0021;18.93;0;0.002;276177.4231;10621.7308;4132.5937;107447.436;2.0948957864164
27;71.5816;23.4274;2.6512;15.8789;8.3444;0.1678;0.0199;17.2497;0.2615;0.3619;0;27.3865;0.2223;0.002;11.2956;0.3726;0.002;18.4316;0;0.002;284184.6296;10524.8519;3970.0855;107192.3088;1.95580987292824
28;77.611;27.177;2.7719;17.3012;8.2535;0.1504;0.0184;17.1589;0.2392;0.3331;0;26.7404;0.211;0.002;11.0217;0.3552;0.002;18.2101;0;0.002;293482.7857;10481.0357;3781.4659;105881.045;1.80386800840087
29;82.8287;25.2602;2.8561;15.9272;8.2556;0.1485;0.0179;17.3409;0.2372;0.3297;0;27.2346;0.2064;0.002;11.2653;0.3713;0.002;18.6585;0;0.002;305817.1379;10544.8621;3692.1721;107072.9911;1.6902353894242
30;90.3413;26.9695;3.0113;17.923;8.1156;0.1436;0.0166;16.9181;0.2246;0.3134;0;27.2547;0.1986;0.0017;10.9641;0.316;0.0021;17.605;0;0.002;312619.4667;10420.1333;3460.4265;103812.7958;1.54967882906268
